Product_Name,Rating,Review_Comments
Jabra C150 Headset for 2.5mm Universal Headset Jack: Cell Phones & Service,1.0,The darn thing broke almost immediately.When I tried to switch gel covers (it comes with 3 different sizes) the entire earpiece came off in my hands!What a flimsy piece of crap.I just sent it back to Amazon. I'm never buying a Jabra product again
Jabra C150 Headset for 2.5mm Universal Headset Jack: Cell Phones & Service,1.0,"I bought this for $30 from Best Buy. What a waste of money!The ear gels are comfortable at first, but after an hour or so, your ear starts to really hurt from it.The sound quality is TERRIBLE! People I am talking to sound very muddled and overly loud, even on the lowest volume setting on my Motorola v300.What is worse, people I am talking to hear me very poorly. They say there is so much background noise it sounds like I am in a noisy bar, even when I'm just sitting in my car. People can barely hear me over the background noise racket"
Jabra C150 Headset for 2.5mm Universal Headset Jack: Cell Phones & Service,2.0,"Beware!  The ""Product Features"" for this product specifieda ""Call answer and end button on the headset."" The device I received did not have that feature.  I selected this model because of the advertised feature.  Amazon.com's description was erroneous and misleading.  I returned the item and was charged for the return shipping.  I emailed them notifying them that it was their fault for falsely advertising a feature that was not part of the product. They ignored my email.In the online return process, there's no option that states the return was a result of Amazon.com's fault.  Basically, they falsely advertise so that you buy the product, and when you discover it's not the right one you're screwed.  I now understand all those complaints I've read about Amazon.com.  I'll take the loss this time, but I won't repeat my mistake and order from them again.  Buyer beware!This review is not so much about the product as it is about Amazon.com's false description of the product. I couldn't use the product so sorry I couldn't give a review about it"
Jabra EarWave Boom with Universal 2.5mm connector: Cell Phones & Service,1.0,"I purchased this item for use while driving my car in Oct of 2005 for $29.00 without tax.  I was told it would work for the LG phones which is what I haveI see now you can no longer find these for sale and gee I wonder why...I probable used this item a total of 8 times when I drove my manual transmission car, I didnt really use it while driving my truck which was automatic.  The Jabra now does not work...and after only 8 uses, a friend of mine also bought one and his lasted about 6 months as well.  While using it the phone cuts out and the caller can not hear you at the other end and you have to constantly pull the plug and stick it back in, after a while you just give up cause it doesnt work.I emailed the company several times at info@jabra.com but have not tried to call them yet and had no results with the emails.  I have a feeling I lose anyways with this purchase.The thing is not worth the money and does not seem to last long and is not made for LG cell phones, Iknow the one I got with the phone stinks due to the fit but al least it was free and still works top notch.To bad this was a comfortable ear piece but very short lived. do not purchase this even for the 4.99 prices you may find it for on Ebay"
Jabra EarWave Boom with Universal 2.5mm connector: Cell Phones & Service,1.0,Junk. Junk. Junk.  Mine lasted for only three weeks then one day stopped working
Jabra EarWave Boom with Universal 2.5mm connector: Cell Phones & Service,2.0,I went through 2 of these in as many months - the sound quality was very spotty and the mic would intermittently quit working. People regularly had a hard time understanding me when the mic was working and the voice recognition on my cell phone couldn't even distinguish between 'yes' and 'no.'
Jabra EarWave Boom with Universal 2.5mm connector: Cell Phones & Service,2.0,Design is great and very comfortable but sound quality is poor - people on the other side of the conversation constantly claim that sound/ mic is not clear or muffled. Find an alternate hands free- piece
Jabra EarBoom for phones with Universal 2.5mm Jack: Cell Phones & Service,2.0,"I owned two of these EarBooms. The fit was comfortable and the sound very good. However, after a month or two of use, both sets cracked the plastic where the boom enters the ear piece. I imagine this came from adjusting the boom position, which put strain on the plastic. The plastic used for this is not strong enough to take the stress"
Jabra EarBoom for phones with Universal 2.5mm Jack: Cell Phones & Service,2.0,"I have no problems with how the unit feels and fits into my ear -- it's unobtrusive and light. However, I constantly get complaints from whoever I'm talking to on the phone that my voice is too quiet. I have to speak up louder than normal and cup my hand around the back of the microphone in order to produce an acceptable volume, which kind of defeats the purpose of the headset. The problem seems to be that the boom is too short leaving the microphone too far from and to the side of the mouth"
Jabra EarBoom for phones with Universal 2.5mm Jack: Cell Phones & Service,2.0,"The gel inserts on the Jabra is quite uncomfortable, at least for me.  It's a bit hard to make the earbud stay in my ear, and forget about jogging wearing this.  Also the insert comes off very easily, and if a friend wants to borrow it and has different size of ears, you need to find the other sizes of the insert.  Sound quality is mediocre, as callees often complain about wind noise from my end.  I'm not happy with these"
Jabra EarBoom for phones with Universal 2.5mm Jack: Cell Phones & Service,1.0,"Apparently you need to ""know"" your technical specs -- Universal does not mean Nokia, so after getting the product and on the packaging reading clearly there that it doesn't work with Nokia, I get the expense of sending it back. This should be on the technical specs which are crap on this site"
Samsung t809 Phone (T-Mobile): Cell Phones & Service,1.0,"I owned Samsung T809 months ago and I was very frustrated because the bluetooth doesn't work well, sometimes it has connection (bluetooth) but most of the time it doesn't work. Yeah! it's a good looking cellphone but not a friendly user one."
