Product_Name,Rating,Review_Comments
Jabra C150 Headset for 2.5mm Universal Headset Jack: Cell Phones & Service,5.0,"I owned one of these for about three months, then it started to fall apart.  It was $30 at Best Buy.  I haven't replaced it, as $30 is a *lot*.$10?  I'm buying two more.  I can be moving 20 mph on my bicycle, talking to someone, with no problems.  It has far better sound quality than my 'backup', which is a Jabra with no boom.  The ear volume is adjustable on my phone, and I'm wondering what phones other reviewers have that won't let them adjust the volume"
Jabra C150 Headset for 2.5mm Universal Headset Jack: Cell Phones & Service,4.0,"I've had my headset for about a month now.  As noted by another reviewer, this headset does not come with any buttons or switches - the only thing on the cord is a shirt clip.  6 different ear gels are included to accomodate different ears, which is nice (though I've only ever used one).  The headset is very easy to slip into my ear (only takes 1 second) and is comfortable for up to 2 hours of wear (at which point my ear starts to get a little sore).  My boyfriend reported a similar experience with other headsets that use ear gels.  If you regularly stay on the phone longer than 2 hours, it's something to keep in mind.  However, it suits my needs just fine, and for the low price, I think it's really a great buy"
Jabra C150 Headset for 2.5mm Universal Headset Jack: Cell Phones & Service,5.0,"The sound is great, and the sleak design and lack of bells and whistles gives me hope that this headset might last a bit longer than others.  The bud actually sits comfortably in my ear -- this is a first (and my neice used the extra buds for her MP3 player and loved them)."
Jabra EarWave Boom with Universal 2.5mm connector: Cell Phones & Service,5.0,"The device works fine and I don't feel I over paid.  Sure there are better hands free devices out there, but this one is reliable. "
Jabra EarWave Boom with Universal 2.5mm connector: Cell Phones & Service,5.0,My perception is that the headset is very confortable to use and the clarity of my voice is fine.I use the headset all day without any discomfort. I higly recommend it over the other types of headset
Jabra EarBoom for phones with Universal 2.5mm Jack: Cell Phones & Service,5.0,"i helped develop the danger hiptop (aka ""t-mobile sidekick) and hated holding its brick-like nature to my head ... i wanted a good headset ...the only problem is i *hate* earbuds, so i wasn't looking forward to shopping for/buying one.  i went to the local super-electronics store, and abusing their return policy, bought one of every headset they had to try -- 23 headsets to be exact ... i picked up the jabra only to be a complete-ist, figuring there was no way i'd buy its star-trek-bugs-crawling-in-chekov's-ear styling.but after trying them all, the jabra was *easily* the best feeling and best fitting.  in a nutshell, here are the things i like about this unit in particular:* it comes with 6 different fittings (3 sizes for the right and the left), so you get a chance to get a *much* closer fit than some generic ear piece.* contrary to what others have said here, the ear pieces stay *very* snug in your ear (if they don't, you're not fitting them correctly).* i wear glasses, so i can't tolerate over-the-ear headsets.  this, of course, is great in that way.* i like having the model with the microphone boom over the classic ear-only jabra because it:  1. let's people know you're talking on the phone, and less likely to interrupt you while you're talking.  2. i drive a convertible and the mike cover is good enough that i can easily talk to people with the top down and be heard without a ton of wind noise.* it's small and easy to wrap up into my cell case.also in the newest version, they've adding a securing ""lip"" to the rubber ear pieces that keep them from falling off the ear piece (this definitely was a problem before).to top it all off, jabra's support is excellent.  i called their 800 number when my securing clip for my shirt broke and they immediately sent me *three* replacements, free of charge, along with a ball point pen for my ""troubles.""at 10 bucks, these things are a steal ... using one with my hiptop is a joy -- it means i can still contruct sms's, type in emails, add messages and addresses to my address book whilst talking on the phone.  if you have a data device of any kind, this will make your phone experience twice as good.a truly great product from a company that knows how to treat its customers right.  what more could you want?thanks for reading"
Jabra EarBoom for phones with Universal 2.5mm Jack: Cell Phones & Service,4.0,"I think this is a pretty good earpiece...  granted, I've only used one other (it was a flimsy little thing that came w/ my friend's Nokia), but this one far surpasses that one in sound quality and comfort.  Where my friend's would fall out of my ear, this one (once I got it figured out) never comes loose.    Second, listening to people on my friend's, I would have to turn up the sound to hear the person well, and then they sounded muffled and distorted; but on my Jabra I can actually turn down the volume on my phone and they sound crisp and clear-- moreso than when I'm not using the earpiece.  Finally, when my friend calls me and uses her earpiece, she sounds distant and muffled; I've had no complaints from the people I'm talking to using the Jabra, and, in fact, my mom said it sounds better when I use the EarBoom than when I don't.The ear gels are a bit hard to get used to.  They are oddly shaped (as you can see in the picture), and there are six of them total-- three of them for each ear.  Lots of reviewers complained about the fit and comfort of the ear gels, while others claim these are the most comfortable earpieces they've used and that they fit perfectly...  I can honesly say I've had both experiences.  When I first got this unit the earpiece kept falling out everytime that I would turn my head: *very* frustrating.  I tried pushing it into my ear as hard as I could, I tried holding it in place with my hand, but that only seemed to defeat the purpose of having a hands-free earpiece.  Nothing seemed to work.  I was thinking of returning it.  I was thinking of throwing it into traffic on I-95.  And then one day, somehow, I came to the realization that you have to sort of twist it into your ear-- with the little poky-out part stuck in the fold of your ear next to the ear canal (not the fold on the top of your ear; if you do that it'll just pop out again)-- and then *voila* it stays put.  Matter o' fact, it'll stay put so well that it'll be a little bit difficult-- even *painful*-- to get out again.I can imagine that people with different ear sizes, different patience levels, and lower IQs might have different experiences than my own.  But all I can say is that once I had this little bugger figured out, I was golden.  I love this thing and almost never talk on the phone without it.Admittedly, it is a bit difficult to get into your ear-- I'd say it takes upward of 2 seconds to get in properly (before you're good and practiced at it), which may not sound like a lot, but it's long enough to not recognize somebody's voice or hear the first sentence they say, or whatever.  A *very mild* frustration.  But like all things good and pleasant, it takes a little practice to get it just right and now I have it so that I can answer the phone, slip the EarBoom in my ear and start a conversation without missing a beat.  In fact, I find this earpiece to be so comfortable that I forget that it's in until I go to scratch my ear or something!The other complaint that I saw on here was that it's not compatible with Nokia phones.  In fact, it even says right on the package that it's not compatible with Nokia.  That's funny, I have a Nokia 3589i and it works just fine.  They make two other models of EarBoom (one of which clearly would not have worked with my phone), both of which claim to be Nokia compatible, and *neither* of those works with my phone!  Confusing?  Yes!  The problem is it doesn't work with *all* Nokia phones.  While browsing at the store I noticed that the ones that claimed to be Nokia compatible had a list of phones that it works with, but it didn't include mine (it included one that was, numerically speaking, very close to my model: the 3590); which piqued my curiosity.  And so I went to the friendly manager of the store that I was in and he opened two of the different packages for me and let me test both of them.  One of them worked, the other didn't.  The strange part of it was that we couldn't see a visible difference in the two units...  and then one of us noticed that on one of them the jack had two small black stripes around it (that's this one, and if you look closely at the picture you can see them), while the other one (the one marked as Nokia compatible) had three.  Hmmm...  Curious.So my advice is to either know your phone well (as in, have the little book handy) or ask for help before purchasing.All in all 4 of 5 stars.  I'd give it 5 stars on performance and comfort, but have to take it down a notch for an extended period of getting used to it and for confusing packaging.Addendum:Several months later the little piece of foam has fallen from the end of the boom so that any sound from the wind becomes almost unbearably loud for the person at the other end...  And living in windy Providence, this is a bit of an annoyance.Also, for a while I was having a problem where the earpiece would cut out for seconds at a time so that I couldn't hear the person on the other end of the line (and, likewise, they couldn't hear me) unless I jiggled the little jack.  This was *very *FRUSTRATING.**  Now, for some reason, I'm not having that problem anymore.  I'm not really sure if the problem was due to my phone or the EarBoom.  Either way, it's something buyers should be aware of"
Jabra EarBoom for phones with Universal 2.5mm Jack: Cell Phones & Service,4.0,"So I bought this thing based on the Amazon reviews and saved a bundle over the local retail cost (yeah Amazon!), but that's not why I'm writing this review.I'd like to talk about the performance and comfort of the Earboom.  The eargel thingies are designed quite well, of the three different sizes for each ear you're bound to find one that fits very comfortably.  Turns out I couldn't find any that fit my right ear comfortably for extended periods of use but found a perfect fit in my mate on the other side.  My wife had the exact opposite experience - hopefully our daughter will inherit more symmetrical ears!  I hate jogging so can't comment on the fit during that activity but can say the gels fit suprising well in the folds of your ear and the boom is quite secure when installed.  I'd have to imagine it'd take a big hit to knock it loose once in place.Sound quality from the earbud is decent, but I feel the Earboom lacks some fidelity, especially the higher frequencies.  Normally this is not a problem, but it can sometimes make the person you're talking to sound like Isaac Hayes.  The speaker is plently loud and the lack of high frequencies allows you to tune into the tonal range where us humans tend to converse, without having the voices washed over with background noise.  The gels block an appropriate amount of external sounds allowing you to concentrate on the discussion at hand without impeding your ability to hear say an ambulance while driving.  There is a small slot on the gels that funnels some external noise to your drum, while the rest of the gel fits snug to the ear blocking out other stray noise paths.I've asked people how I sound and thus far the feedback has been positive, my voice comes through loud and clear despite the boom's apparent lack of length, reinforcing my belief that size DOESN'T matter.  In fact, I have found the mic to be very sensitive to even small sounds.  Forget talking on the phone and subtly typing on the keyboard our mouse click surfing - they'll hear every click.  Another example, I was in my house and the person on the other end could hear the kids playing in the pool 40 feet away with the house windows closed!!  Yes, the mic is that sensitive.  Even while driving they could hear when I shifted gears.  Not that it's obtrusive to the other person on the phone, it's just good to be aware they can hear it all.What more to say about such a simple device. Form Fit and Function are all there and I would recommend this product.  In fact, I just ordered another - it makes a great gift"
Jabra EarBoom for phones with Universal 2.5mm Jack: Cell Phones & Service,4.0,"The compatibility with Nokia phones should not have to be listed because very clearly in BOLD letters-within the title-it says ""Universal 2.5mm Jack""  Universal meaning ALL 2.5mm jacks. Not all cell phones.  Know your phone and your aquisition before giving a bad review.  Great product"
Samsung t809 Phone (T-Mobile): Cell Phones & Service,4.0,"I've been using my T809 since January and mostly love it.  Three main problems:  1) There is some sort of pinhole leak in the upper right corner of the screen where dust gets in behind the screen lens.  Looks like crap when the display is inactive.  I've read that other people have this problem too.  2) I hardly ever use this as an MP3 player because you have to use their poorly designed headset (they won't stay in my ears!) and because you can't hear the phone ring over the headset while listening to music.3) The ring starts off softly and builds to a louder volume.  If I have the phone in my pocket I miss the first couple of rings (too quiet) and by the time I realize I'm getting a call and fumble to get it out of my pocket, I've usually missed the call.  This sucks and I don't think there's a setting to disable this ""feature"".It's close to ideal, but no cigar.  Camera's great, reception's great, easy to use.  But I'll probably look for something similar but better after my contract expires.BTW, if you get insurance thru TMobile for any phone, make sure you see it on the bill.  I had a problem with water damage three weeks after buying.   TMobile claimed I never asked for insurance, but fortunately Amazon exchanged it."
